DATA INICIAL,DATA FINAL,ESTADO,CIDADE,PRODUTO,NUMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PRECO MEDIO REVENDA,DESVIO PADRAO REVENDA,PRECO MINIMO REVENDA,PRECO MAXIMO REVENDA,COEF DE VARIACAO REVENDA
8/4/2024,8/10/2024,ALAGOAS,MACEIO,ETANOL HIDRATADO,18,R$/l,"4,95","0,080","4,69","4,99","0,016"
8/4/2024,8/10/2024,AMAZONAS,MANACAPURU,ETANOL HIDRATADO,5,R$/l,"4,69","0,004","4,69","4,70","0,001"
8/4/2024,8/10/2024,AMAZONAS,MANAUS,ETANOL HIDRATADO,32,R$/l,"4,88","0,005","4,87","4,89","0,001"
8/4/2024,8/10/2024,PARA,MARABA,ETANOL HIDRATADO,6,R$/l,"4,79","0,156","4,69","5,10","0,033"
8/4/2024,8/10/2024,RIO DE JANEIRO,MARICA,ETANOL HIDRATADO,7,R$/l,"4,34","0,244","4,09","4,79","0,056"
8/4/2024,8/10/2024,SAO PAULO,MARILIA,ETANOL HIDRATADO,14,R$/l,"3,72","0,128","3,51","3,99","0,034"
8/4/2024,8/10/2024,PARANA,MARINGA,ETANOL HIDRATADO,17,R$/l,"4,25","0,073","3,99","4,29","0,017"
8/4/2024,8/10/2024,SAO PAULO,MATAO,ETANOL HIDRATADO,8,R$/l,"4,18","0,044","4,16","4,29","0,011"
8/4/2024,8/10/2024,SAO PAULO,MAUA,ETANOL HIDRATADO,10,R$/l,"3,86","0,209","3,59","4,19","0,054"
8/4/2024,8/10/2024,SAO PAULO,MOCOCA,ETANOL HIDRATADO,8,R$/l,"4,28","0,124","4,12","4,39","0,029"
8/4/2024,8/10/2024,SAO PAULO,MOGI DAS CRUZES,ETANOL HIDRATADO,1,R$/l,"3,89","0,000","3,89","3,89","0,000"
8/4/2024,8/10/2024,SAO PAULO,MOGI GUACU,ETANOL HIDRATADO,9,R$/l,"3,88","0,229","3,59","4,26","0,059"
8/4/2024,8/10/2024,SAO PAULO,MONTE ALTO,ETANOL HIDRATADO,7,R$/l,"4,06","0,161","3,85","4,19","0,040"
8/4/2024,8/10/2024,MINAS GERAIS,MONTE CARMELO,ETANOL HIDRATADO,8,R$/l,"3,98","0,125","3,84","4,19","0,031"
8/4/2024,8/10/2024,MINAS GERAIS,MONTES CLAROS,ETANOL HIDRATADO,14,R$/l,"4,05","0,116","3,94","4,30","0,029"
8/4/2024,8/10/2024,GOIAS,MORRINHOS,ETANOL HIDRATADO,5,R$/l,"3,98","0,004","3,98","3,99","0,001"
8/4/2024,8/10/2024,RIO GRANDE DO NORTE,MOSSORO,ETANOL HIDRATADO,15,R$/l,"5,36","0,077","5,09","5,39","0,014"
8/4/2024,8/10/2024,MINAS GERAIS,MURIAE,ETANOL HIDRATADO,8,R$/l,"4,43","0,007","4,42","4,44","0,002"
8/4/2024,8/10/2024,RIO GRANDE DO NORTE,NATAL,ETANOL HIDRATADO,18,R$/l,"5,48","0,112","5,33","5,79","0,021"
8/4/2024,8/10/2024,RIO DE JANEIRO,NILOPOLIS,ETANOL HIDRATADO,8,R$/l,"4,23","0,171","4,09","4,65","0,040"
8/4/2024,8/10/2024,RIO DE JANEIRO,NITEROI,ETANOL HIDRATADO,17,R$/l,"4,22","0,236","3,89","4,69","0,056"
8/4/2024,8/10/2024,RIO DE JANEIRO,NOVA FRIBURGO,ETANOL HIDRATADO,10,R$/l,"4,47","0,127","4,29","4,75","0,028"
8/4/2024,8/10/2024,RIO DE JANEIRO,NOVA IGUACU,ETANOL HIDRATADO,14,R$/l,"4,28","0,214","3,99","4,80","0,050"
8/4/2024,8/10/2024,MINAS GERAIS,NOVA LIMA,ETANOL HIDRATADO,8,R$/l,"4,49","0,181","4,26","4,69","0,040"
8/4/2024,8/10/2024,RIO GRANDE DO SUL,NOVO HAMBURGO,ETANOL HIDRATADO,6,R$/l,"4,39","0,000","4,39","4,39","0,000"
8/4/2024,8/10/2024,PERNAMBUCO,OLINDA,ETANOL HIDRATADO,10,R$/l,"4,75","0,039","4,69","4,79","0,008"
8/4/2024,8/10/2024,SAO PAULO,OSASCO,ETANOL HIDRATADO,19,R$/l,"3,99","0,366","3,69","5,39","0,091"
8/4/2024,8/10/2024,RIO GRANDE DO SUL,OSORIO,ETANOL HIDRATADO,3,R$/l,"4,39","0,173","4,29","4,59","0,039"
8/4/2024,8/10/2024,SAO PAULO,OURINHOS,ETANOL HIDRATADO,8,R$/l,"3,92","0,180","3,77","4,19","0,046"
8/4/2024,8/10/2024,TOCANTINS,PALMAS,ETANOL HIDRATADO,13,R$/l,"4,73","0,095","4,59","4,89","0,020"
8/4/2024,8/10/2024,MINAS GERAIS,PARA DE MINAS,ETANOL HIDRATADO,7,R$/l,"4,41","0,094","4,35","4,59","0,021"
8/4/2024,8/10/2024,MINAS GERAIS,PARACATU,ETANOL HIDRATADO,8,R$/l,"4,07","0,115","3,95","4,28","0,028"
8/4/2024,8/10/2024,SAO PAULO,PARAGUACU PAULISTA,ETANOL HIDRATADO,8,R$/l,"3,86","0,099","3,75","3,99","0,026"
8/4/2024,8/10/2024,PARANA,PARANAGUA,ETANOL HIDRATADO,8,R$/l,"4,24","0,191","4,09","4,69","0,045"
8/4/2024,8/10/2024,PARANA,PARANAVAI,ETANOL HIDRATADO,8,R$/l,"3,92","0,151","3,79","4,29","0,039"
8/4/2024,8/10/2024,PARA,PARAUAPEBAS,ETANOL HIDRATADO,6,R$/l,"4,93","0,147","4,69","5,06","0,030"
8/4/2024,8/10/2024,PIAUI,PARNAIBA,ETANOL HIDRATADO,8,R$/l,"4,64","0,177","4,39","4,99","0,038"
8/4/2024,8/10/2024,RIO GRANDE DO NORTE,PARNAMIRIM,ETANOL HIDRATADO,4,R$/l,"5,42","0,093","5,29","5,49","0,017"
8/4/2024,8/10/2024,RIO GRANDE DO SUL,PASSO FUNDO,ETANOL HIDRATADO,6,R$/l,"4,73","0,206","4,39","4,99","0,044"
8/4/2024,8/10/2024,MINAS GERAIS,PASSOS,ETANOL HIDRATADO,10,R$/l,"4,14","0,053","4,09","4,19","0,013"
8/4/2024,8/10/2024,PARAIBA,PATOS,ETANOL HIDRATADO,6,R$/l,"4,79","0,075","4,73","4,94","0,016"
8/4/2024,8/10/2024,MINAS GERAIS,PATROCINIO,ETANOL HIDRATADO,8,R$/l,"4,29","0,147","3,99","4,49","0,034"
8/4/2024,8/10/2024,SAO PAULO,PAULINIA,ETANOL HIDRATADO,9,R$/l,"3,95","0,212","3,59","4,39","0,054"
8/4/2024,8/10/2024,PERNAMBUCO,PAULISTA,ETANOL HIDRATADO,10,R$/l,"4,73","0,046","4,69","4,79","0,010"
8/4/2024,8/10/2024,BAHIA,PAULO AFONSO,ETANOL HIDRATADO,6,R$/l,"4,95","0,022","4,93","4,98","0,004"
8/4/2024,8/10/2024,RIO GRANDE DO SUL,PELOTAS,ETANOL HIDRATADO,8,R$/l,"4,76","0,238","4,59","5,29","0,050"
8/4/2024,8/10/2024,PERNAMBUCO,PETROLINA,ETANOL HIDRATADO,16,R$/l,"5,25","0,066","5,10","5,30","0,013"
8/4/2024,8/10/2024,RIO DE JANEIRO,PETROPOLIS,ETANOL HIDRATADO,14,R$/l,"5,13","0,051","5,09","5,19","0,010"
8/4/2024,8/10/2024,PIAUI,PICOS,ETANOL HIDRATADO,4,R$/l,"4,83","0,121","4,70","4,99","0,025"
8/4/2024,8/10/2024,MARANHAO,PINHEIRO,ETANOL HIDRATADO,3,R$/l,"5,01","0,266","4,79","5,31","0,053"
8/4/2024,8/10/2024,SAO PAULO,PIRACICABA,ETANOL HIDRATADO,17,R$/l,"3,98","0,214","3,64","4,39","0,054"
8/4/2024,8/10/2024,PIAUI,PIRIPIRI,ETANOL HIDRATADO,4,R$/l,"4,58","0,123","4,49","4,75","0,027"
